X,X,CensusTract,ClusterNum,Change_Population,Change_HouseUnits,Change_5To7_or_more_person_household,Change_Builst1939earlier,Change_Built_1940to1959,Change_VacantUnits,Y00_PCT_Units_HHIncome_25to50k,Y00_PCT_Units_HHIncome_50to75k,Chg_Educate_HighSchool_orLess,Chg_Educate_SomeCollege,dis,lat,long,Y13_Geography,Y13_County_NM,Y13_County,ctId
1,1,1400000US17031220902,1,-0.184478372,-0.006183106,-0.08439475,0.353425727,-0.187693385,0.065421195,0.301544051,0.160762943,-0.14604049,0.068820177,0.457294874,41.9227112,-87.7218357,"Census Tract 2209.02, Cook County, Illinois",Cook,Cook Illinois,17031220902
1,1,1400000US17031200401,1,0.022564611,0.06105149,-0.045955632,0.172714972,-0.062200002,0.05194762,0.246077992,0.205289108,-0.020303735,0.045851922,0.392069011,41.9198285,-87.7375419,"Census Tract 2004.01, Cook County, Illinois",Cook,Cook Illinois,17031200401
1,1,1400000US17031200402,1,-0.217857286,0.051974785,-0.14673509,0.282781021,-0.172467921,0.115505231,0.246077992,0.205289108,-0.135482664,0.134494908,0.427463398,41.9196348,-87.7296789,"Census Tract 2004.02, Cook County, Illinois",Cook,Cook Illinois,17031200402
1,1,1400000US17031191301,3,0.118053031,0.079922703,-0.03355278,-0.030598033,-0.056642957,0.018342121,0.395213923,0.215736041,-0.048096762,0.075629114,0.510808374,41.9201522,-87.7802655,"Census Tract 1913.01, Cook County, Illinois",Cook,Cook Illinois,17031191301
1,1,1400000US17031190601,3,0.129190938,0.119903501,0.116827415,0.206240869,-0.187365552,0.057335936,0.369348659,0.210344828,-0.055531634,0.023780316,1.023327863,41.9274146,-87.7804606,"Census Tract 1906.01, Cook County, Illinois",Cook,Cook Illinois,17031190601
1,1,1400000US17031190701,3,-0.112795354,-0.018276647,-0.052859597,0.156829228,-0.283578278,0.026083869,0.38516215,0.257219014,-0.087685049,0.088369525,0.810666855,41.9297959,-87.7614217,"Census Tract 1907.01, Cook County, Illinois",Cook,Cook Illinois,17031190701
1,1,1400000US17031190702,3,-0.006766461,0.048714089,-0.095938365,0.240928391,-0.214361937,0.079717372,0.38516215,0.257219014,0.02579976,-0.01876109,0.518648801,41.9261631,-87.7610395,"Census Tract 1907.02, Cook County, Illinois",Cook,Cook Illinois,17031190702
1,1,1400000US17031190401,3,0.014846743,-0.015261963,-0.00098667,-0.003593813,-0.212322466,0.040316933,0.298799314,0.238078902,-0.044566884,0.011648503,0.492798552,41.9347276,-87.7809524,"Census Tract 1904.01, Cook County, Illinois",Cook,Cook Illinois,17031190401
1,1,1400000US17031190402,3,-0.102957907,0.042027888,-0.027986226,0.257529658,-0.234458172,0.109322177,0.298799314,0.238078902,-0.021734893,-0.005015432,0.91105712,41.9348596,-87.7712318,"Census Tract 1904.02, Cook County, Illinois",Cook,Cook Illinois,17031190402
1,1,1400000US17031832100,2,0.052137306,0.039521581,0.00318008,0.065735186,-0.193762846,0.04911374,0.288367013,0.100491535,-0.104968852,-0.006761356,0.546823442,41.9528214,-87.6532413,"Census Tract 8321, Cook County, Illinois",Cook,Cook Illinois,17031832100
1,1,1400000US17031843800,1,-0.238437002,0.003496503,-0.0296623,0.289051143,-0.307262264,0.192295509,0.239944521,0.158113731,-0.080003975,0.068406436,0.546823442,41.8016566,-87.6404756,"Census Tract 8438, Cook County, Illinois",Cook,Cook Illinois,17031843800
1,1,1400000US17031842800,3,0.033305921,0.053097345,0.012891325,0.247423608,-0.132062327,0.09047606,0.315396114,0.240657698,0.019167279,-0.028199959,0.546823442,41.8075339,-87.6983044,"Census Tract 8428, Cook County, Illinois",Cook,Cook Illinois,17031842800
1,1,1400000US17031833300,1,-0.068228524,-0.024597919,-0.029834453,0.008457561,-0.096509568,0.055803672,0.221664995,0.165496489,-0.018435568,0.032256427,0.546823442,41.8716913,-87.6541251,"Census Tract 8333, Cook County, Illinois",Cook,Cook Illinois,17031833300
1,1,1400000US17031832900,4,-0.023079984,-0.118773946,-0.013421642,0.111523259,-0.081204013,0.035882059,0.278241092,0.112964367,-0.119318776,0.077291189,0.546823442,41.8741753,-87.6618908,"Census Tract 8329, Cook County, Illinois",Cook,Cook Illinois,17031832900
1,1,1400000US17031838000,5,0.269765421,0.196551724,-0.022719011,0.052672615,-0.042420848,-0.005348803,0.13973384,0.070342205,-0.293146262,-0.036548909,0.546823442,41.8773642,-87.6806502,"Census Tract 8380, Cook County, Illinois",Cook,Cook Illinois,17031838000
1,1,1400000US17031838100,1,-0.104477612,0.066171004,-0.033140087,0.167065315,0.001680909,0.065423361,0.218616567,0.106746371,-0.171700644,0.083827634,0.546823442,41.8786651,-87.6716805,"Census Tract 8381, Cook County, Illinois",Cook,Cook Illinois,17031838100
1,1,1400000US17031833100,8,1.688208617,2.794007491,-0.018638343,-0.150537561,-0.072799151,0.004436705,0.102615694,0.114688129,-0.327319274,-0.058065759,0.546823442,41.8790768,-87.6570454,"Census Tract 8331, Cook County, Illinois",Cook,Cook Illinois,17031833100
1,1,1400000US17031839100,5,0.771583517,0.47495798,-0.011321838,0.089732905,0.017268893,-0.055402646,0.144315587,0.197423823,0.020193822,-0.083376605,0.546823442,41.8810267,-87.6327464,"Census Tract 8391, Cook County, Illinois",Cook,Cook Illinois,17031839100
1,1,1400000US17031030706,2,-0.120973773,0.061410329,-0.01313234,0.021697451,0.085839173,0.064567632,0.309731599,0.142927713,-0.187719432,0.08244507,1.295589557,41.9804564,-87.650973,"Census Tract 307.06, Cook County, Illinois",Cook,Cook Illinois,17031030706
1,1,1400000US17031150401,3,-0.019586885,0.036720412,-0.020087414,0.131841042,-0.183610333,0.019861606,0.264849969,0.230863442,-0.209716318,0.083388982,0.736182528,41.9645676,-87.7722648,"Census Tract 1504.01, Cook County, Illinois",Cook,Cook Illinois,17031150401
1,1,1400000US17031150501,3,0.023754215,-0.032226414,-0.00439231,-0.115647556,0.032073375,0.074053525,0.323498143,0.202674313,-0.171024508,0.013766442,0.677977557,41.9644762,-87.7819638,"Census Tract 1505.01, Cook County, Illinois",Cook,Cook Illinois,17031150501
