,X,CensusTract,ClusterNum,Change_Population,Change_HouseUnits,Change_5To7_or_more_person_household,Change_Builst1939earlier,Change_Built_1940to1959,Change_VacantUnits,Y00_PCT_Units_HHIncome_25to50k,Y00_PCT_Units_HHIncome_50to75k,Chg_Educate_HighSchool_orLess,Chg_Educate_SomeCollege,dis,lat,long,Y13_Geography,Y13_County_NM,Y13_County
951,951,1400000US17031815500,3,0.119300179,-0.020287717,0.056620471,0.033965538,-0.068044957,0.018744473,0.299275639,0.287075867,-0.003206015,-0.016029144,0.546823442,41.8251471,-87.7877679,"Census Tract 8155, Cook County, Illinois",Cook,Cook Illinois
952,952,1400000US17031815600,3,0.03173328,-0.00405771,0.00220931,-0.022569364,-0.001973646,0.045797359,0.343592099,0.229673863,-0.058915821,0.059572807,0.546823442,41.8449684,-87.8240397,"Census Tract 8156, Cook County, Illinois",Cook,Cook Illinois
953,953,1400000US17031815701,4,0.008675683,-0.024437299,-0.004364753,0.01609879,-0.114115904,-0.001879662,0.179045093,0.226790451,-0.040659185,-0.060054643,0.546823442,41.8367113,-87.8110754,"Census Tract 8157.01, Cook County, Illinois",Cook,Cook Illinois
954,954,1400000US17031815702,4,-0.036123519,-0.025034137,0.008454894,-0.019332004,-0.036470973,0.06199928,0.276284771,0.220650636,-0.019518669,-0.066799026,0.546823442,41.8283595,-87.8169399,"Census Tract 8157.02, Cook County, Illinois",Cook,Cook Illinois
955,955,1400000US17031815800,4,-0.074230537,0.01529052,-0.036389872,-0.043941532,-0.087403669,-0.009588814,0.294952681,0.176656151,-0.070307098,-0.08924004,0.546823442,41.8315845,-87.8366826,"Census Tract 8158, Cook County, Illinois",Cook,Cook Illinois
956,956,1400000US17031815900,3,-0.099606299,-0.030937802,-0.022991532,-0.056111312,-0.012703306,0.064520094,0.385583135,0.210472628,-0.036479804,-0.036807939,0.546823442,41.8832376,-87.8097243,"Census Tract 8159, Cook County, Illinois",Cook,Cook Illinois
957,957,1400000US17031816000,3,-0.066722973,-0.008715863,-0.022170343,-0.117412448,-0.039529623,0.026159169,0.369314736,0.215281989,-0.022076796,-0.000685752,0.546823442,41.8763759,-87.8163473,"Census Tract 8160, Cook County, Illinois",Cook,Cook Illinois
958,958,1400000US17031816100,3,-0.105300454,-0.075704783,-0.012275866,-0.007392539,-0.006015224,0.037596316,0.27547666,0.268244576,-0.081369156,0.007381228,0.546823442,41.8615643,-87.8183867,"Census Tract 8161, Cook County, Illinois",Cook,Cook Illinois
959,959,1400000US17031816200,3,-0.020315424,0.254781943,-0.090523588,-0.005530726,-0.17964385,0.043079012,0.243390358,0.248055988,-0.043990767,0.026172527,0.546823442,41.9036187,-87.8408339,"Census Tract 8162, Cook County, Illinois",Cook,Cook Illinois
960,960,1400000US17031816300,3,0.233012048,0.038119441,0.102113208,0.07369292,-0.064967907,0.048451816,0.257536042,0.249672346,0.058189604,-0.035411759,0.546823442,41.9042486,-87.8577131,"Census Tract 8163, Cook County, Illinois",Cook,Cook Illinois
961,961,1400000US17031816401,3,0.110091743,-0.015558699,0.015179025,0.221552943,-0.131355777,0.045951609,0.351331361,0.169378698,0.04206059,-0.048647836,0.546823442,41.8955765,-87.8603346,"Census Tract 8164.01, Cook County, Illinois",Cook,Cook Illinois
962,962,1400000US17031816402,3,0.101367855,0.035825545,0.132005017,0.139919893,-0.01396599,0.11758485,0.311541566,0.186440678,0.047915682,-0.017813067,0.546823442,41.8943837,-87.850982,"Census Tract 8164.02, Cook County, Illinois",Cook,Cook Illinois
963,963,1400000US17031816500,4,0.117285468,-0.00279916,0.093361786,0.114541146,-0.054721619,0.056269996,0.440939105,0.179016875,-0.075033417,0.000970891,0.546823442,41.8962808,-87.8935603,"Census Tract 8165, Cook County, Illinois",Cook,Cook Illinois
964,964,1400000US17031816600,3,-0.030963536,0.122820919,-0.106309435,0.017208965,0.092618275,0.049473956,0.331136738,0.224876442,-0.094525778,0.066685691,0.546823442,41.9032165,-87.8808405,"Census Tract 8166, Cook County, Illinois",Cook,Cook Illinois
965,965,1400000US17031816700,4,-0.043959732,-0.079069767,0.029005119,0.028118393,0.027971576,0.005684755,0.288941736,0.249702735,-0.08810572,0.028842711,0.546823442,41.9045738,-87.8963813,"Census Tract 8167, Cook County, Illinois",Cook,Cook Illinois
966,966,1400000US17031816800,3,-0.020851448,0.129921826,-0.039953421,0.006084333,-0.077632999,0.048701671,0.293992557,0.209994684,-0.038119359,-0.023613018,0.546823442,41.8914746,-87.9118633,"Census Tract 8168, Cook County, Illinois",Cook,Cook Illinois
967,967,1400000US17031816900,3,-0.005419136,0.034332425,0.03365002,0.000703451,-0.00757832,0.057978426,0.29583802,0.262092238,-0.06285587,-0.024828219,0.546823442,41.8867816,-87.8906607,"Census Tract 8169, Cook County, Illinois",Cook,Cook Illinois
968,968,1400000US17031817000,3,-0.128579591,0.012418072,-0.095558176,0.036248511,-0.006276577,0.078166274,0.214791217,0.266900883,-0.055534022,0.045971164,0.546823442,41.8873595,-87.8725071,"Census Tract 8170, Cook County, Illinois",Cook,Cook Illinois
969,969,1400000US17031817101,3,-0.100842021,0.03472599,-0.061952418,0.078355125,-0.055077091,0.048902279,0.360544218,0.242063492,-0.088878342,0.054780413,0.546823442,41.8762534,-87.8780978,"Census Tract 8171.01, Cook County, Illinois",Cook,Cook Illinois
970,970,1400000US17031817102,3,-0.03826577,0.027697123,-0.026785618,0.061617437,-0.118149695,0.065091373,0.245785131,0.291646967,-0.044045323,4.68E-05,0.546823442,41.8771917,-87.8657803,"Census Tract 8171.02, Cook County, Illinois",Cook,Cook Illinois
971,971,1400000US17031817200,3,-0.185233654,0.052795934,-0.08344017,0.176873036,-0.058838022,0.076624149,0.301326973,0.195263415,-0.099347583,0.046854379,0.546823442,41.8830072,-87.8545265,"Census Tract 8172, Cook County, Illinois",Cook,Cook Illinois
972,972,1400000US17031817300,3,-0.13170564,0.031683168,-0.043838678,0.119606241,0.012251763,0.160793219,0.330743618,0.249722531,-0.058487261,0.088635907,0.546823442,41.8840812,-87.8478481,"Census Tract 8173, Cook County, Illinois",Cook,Cook Illinois
973,973,1400000US17031817400,3,-0.026753597,0.163282572,-0.075774484,0.070567605,0.028804184,0.054411321,0.322495606,0.266256591,0.087772571,-0.035866615,0.546823442,41.8929938,-87.8381805,"Census Tract 8174, Cook County, Illinois",Cook,Cook Illinois
974,974,1400000US17031817500,1,-0.050956938,0.144878706,-0.092234398,0.09909111,-0.0473471,0.133166965,0.24713467,0.148997135,-0.004955598,-0.045219401,0.546823442,41.8802791,-87.8358383,"Census Tract 8175, Cook County, Illinois",Cook,Cook Illinois
975,975,1400000US17031817600,3,-0.120513378,0.119858156,-0.158159732,0.059023352,-0.04347127,0.117650996,0.31207802,0.210802701,-0.02640825,-0.005174946,0.546823442,41.8700736,-87.8384292,"Census Tract 8176, Cook County, Illinois",Cook,Cook Illinois
976,976,1400000US17031817700,4,-0.107568104,0.114231507,-0.127692883,0.113888889,-0.063647343,0.088164251,0.309850374,0.248129676,-0.026446857,-0.016789584,0.546823442,41.8717576,-87.8517306,"Census Tract 8177, Cook County, Illinois",Cook,Cook Illinois
977,977,1400000US17031817900,4,-0.043412672,0.092372881,-0.060336938,0.109556745,0.020566133,0.070045759,0.318423384,0.218777679,-0.058626174,-0.003529707,0.546823442,41.8587753,-87.8449931,"Census Tract 8179, Cook County, Illinois",Cook,Cook Illinois
978,978,1400000US17031818000,4,0.004919185,-0.041166381,0.019777769,0.012898277,0.042488072,0.001006453,0.316180675,0.273870783,0.045207795,0.014960112,0.546823442,41.8543683,-87.8584426,"Census Tract 8180, Cook County, Illinois",Cook,Cook Illinois
979,979,1400000US17031818100,3,-0.006186478,-0.039430449,0.034267843,0.025842592,0.047567023,-0.020810515,0.269636577,0.203985932,-0.017010235,-0.00578371,0.546823442,41.8511907,-87.8737548,"Census Tract 8181, Cook County, Illinois",Cook,Cook Illinois
980,980,1400000US17031818200,4,0.014957265,-0.014675052,-0.023934768,-0.001019225,-0.025360186,0.061990945,0.226082309,0.251202565,-0.056274044,0.012617054,0.546823442,41.8635144,-87.8751479,"Census Tract 8182, Cook County, Illinois",Cook,Cook Illinois
981,981,1400000US17031818300,3,0.092430394,0.043368991,-0.026420416,0.067073792,-0.111987784,0.043618026,0.279422348,0.273837878,-0.011915463,-0.002127796,0.546823442,41.8772666,-87.8987918,"Census Tract 8183, Cook County, Illinois",Cook,Cook Illinois
982,982,1400000US17031818401,4,-0.058935361,0.017730496,-0.058039216,-0.019885339,-0.135507945,0.073459856,0.321713871,0.22875817,-0.166159279,0.083237149,0.546823442,41.8613913,-87.9031064,"Census Tract 8184.01, Cook County, Illinois",Cook,Cook Illinois
983,983,1400000US17031818402,3,-0.024366472,0.015753425,0.058687034,-0.049346937,-0.053396023,0.094397694,0.304441261,0.250716332,-0.01342937,0.061397013,0.546823442,41.851897,-87.8918627,"Census Tract 8184.02, Cook County, Illinois",Cook,Cook Illinois
984,984,1400000US17031818600,4,0.041222313,-0.018911439,-0.006351,0.016127213,-0.081879525,0.038127345,0.296682464,0.169668246,-0.116258134,0.067548382,0.546823442,41.8402366,-87.8655151,"Census Tract 8186, Cook County, Illinois",Cook,Cook Illinois
985,985,1400000US17031818700,4,0.032694476,-0.024154589,-0.037811749,-0.030331605,-0.02582867,-0.00647425,0.270155587,0.237623762,-0.038961521,0.003977036,0.546823442,41.8335008,-87.8460834,"Census Tract 8187, Cook County, Illinois",Cook,Cook Illinois
986,986,1400000US17031818800,4,-0.017768301,-0.084242689,0.043559432,0.067883237,-0.080551035,-0.013400345,0.319301388,0.248544559,-0.088088964,0.048790197,0.546823442,41.8271222,-87.8544213,"Census Tract 8188, Cook County, Illinois",Cook,Cook Illinois
987,987,1400000US17031818900,4,0.04053741,0.099223947,0.033194733,-0.058288412,-0.078764286,0.006625329,0.276923077,0.218803419,-0.083125774,0.089822176,0.546823442,41.8275751,-87.8668624,"Census Tract 8189, Cook County, Illinois",Cook,Cook Illinois
988,988,1400000US17031819000,4,-0.011371215,-0.003317706,0.012971713,0.054424991,-0.074135375,0.069868279,0.190489637,0.180754965,-0.053207493,-0.021949411,0.546823442,41.8259449,-87.8950412,"Census Tract 8190, Cook County, Illinois",Cook,Cook Illinois
989,989,1400000US17031819100,3,0.036133487,0.076502732,-0.029106466,-0.121930044,-0.022285096,0.021613825,0.347374495,0.248701673,-0.088470843,0.059214353,0.546823442,41.8158454,-87.8134835,"Census Tract 8191, Cook County, Illinois",Cook,Cook Illinois
990,990,1400000US17031819200,3,0.058371736,-0.024307036,0.031038942,0.069174669,0.022551888,0.024962724,0.356953056,0.263064659,-0.036603504,-0.005265785,0.546823442,41.811879,-87.8300332,"Census Tract 8192, Cook County, Illinois",Cook,Cook Illinois
991,991,1400000US17031819300,4,0.03699751,-0.051799824,0.081638977,0.032617143,-0.007787858,0.024092771,0.321818182,0.244545455,-0.06205975,0.017368551,0.546823442,41.8174455,-87.8501112,"Census Tract 8193, Cook County, Illinois",Cook,Cook Illinois
992,992,1400000US17031819400,4,-0.0218509,-0.04140414,-0.006763064,0.024346378,-0.023436146,0.061749133,0.320222119,0.208699676,-0.163163039,0.065675117,0.546823442,41.8100292,-87.8498739,"Census Tract 8194, Cook County, Illinois",Cook,Cook Illinois
993,993,1400000US17031819500,4,-0.078583765,0.093306288,2.30E-05,0.064920012,-0.088479279,0.081592512,0.233380481,0.193776521,-0.026360905,0.004851698,0.546823442,41.814298,-87.8672536,"Census Tract 8195, Cook County, Illinois",Cook,Cook Illinois
994,994,1400000US17031819600,6,-0.023447244,-0.079022989,0.015678162,-0.018912394,-0.028206646,0.017079994,0.14619883,0.161549708,-0.062695025,0.027477874,0.546823442,41.8051233,-87.8684177,"Census Tract 8196, Cook County, Illinois",Cook,Cook Illinois
995,995,1400000US17031819700,6,0.00779335,-0.045128436,0.053005515,0.030400492,-0.133843335,0.002073302,0.166458623,0.140572839,-0.02943093,-0.066468755,0.546823442,41.8090295,-87.8808172,"Census Tract 8197, Cook County, Illinois",Cook,Cook Illinois
996,996,1400000US17031819801,6,0.050804731,-0.026067665,0.018112742,-0.043229646,-0.090559647,-0.010498827,0.128514056,0.155479059,-0.047248171,-0.039553039,0.546823442,41.8121922,-87.8974038,"Census Tract 8198.01, Cook County, Illinois",Cook,Cook Illinois
997,997,1400000US17031819900,6,0.075908652,0.027678571,0.048825408,-0.068508922,-0.064785903,0.027780967,0.127917834,0.168067227,-0.049583512,-0.076521067,0.546823442,41.8041797,-87.9071572,"Census Tract 8199, Cook County, Illinois",Cook,Cook Illinois
998,998,1400000US17031820000,4,-0.08,-0.084033613,0.034892091,-0.05794961,-0.044025433,0.042967646,0.07703281,0.182596291,-0.004086252,-0.079686287,0.546823442,41.8014109,-87.9139505,"Census Tract 8200, Cook County, Illinois",Cook,Cook Illinois
999,999,1400000US17031820101,4,0.030273023,0.113394998,0.010180562,0.021843097,-0.057689409,0.019124674,0.202041535,0.16719465,-0.006387488,-0.072547252,0.546823442,41.7761897,-87.9034274,"Census Tract 8201.01, Cook County, Illinois",Cook,Cook Illinois
1000,1000,1400000US17031820103,3,0.047869674,-0.058417085,0.065649456,-0.037342315,0.042916802,0.058224327,0.238892466,0.182871861,0.087525201,-0.073540318,0.546823442,41.7899375,-87.8661978,"Census Tract 8201.03, Cook County, Illinois",Cook,Cook Illinois
1001,1001,1400000US17031820104,4,0.011425733,-0.070767556,0.000757353,-0.003277038,-0.034135276,-0.008322387,0.264215968,0.208500862,-0.009054963,-0.07571536,0.546823442,41.7821533,-87.877102,"Census Tract 8201.04, Cook County, Illinois",Cook,Cook Illinois
